program,50plus,bbb,cda,christenunie-cu,d66,denk,forum-voor-democratie,groenlinks-pvda,ja21,partij-voor-de-dieren,pvv-partij-voor-de-vrijheid,sp-socialistische-partij,volt,vvd
50plus,1.0,0.7612283692642424,0.5062972225585535,0.7395901377628918,0.8088819454975889,0.759968093788842,0.6272848827553691,0.8176327463674319,0.5834516973756527,0.40924721031729633,0.7657286184843023,0.77844459960743,0.6485515718037911,0.7278856442927841
bbb,0.7612283692642424,1.0000000000000004,0.637712420990399,0.793310853880352,0.8547456333589195,0.6195605097601848,0.8812248624843417,0.7710981160212185,0.7063072432127004,0.5378321704552285,0.821768487141375,0.7480376695438135,0.772387346226363,0.8619101022346082
cda,0.5062972225585535,0.637712420990399,1.0000000000000002,0.5242601382632982,0.6538066634042355,0.4533208355051044,0.5655276816635787,0.5481844143868302,0.924545721918281,0.321193954107278,0.49935502990125175,0.5130948072385282,0.49142908845461586,0.5544675870505471
christenunie-cu,0.7395901377628918,0.793310853880352,0.5242601382632982,0.9999999999999997,0.8507945352932271,0.7509683004283267,0.6666789481390845,0.821581090592239,0.5270212628447647,0.6640403141455051,0.6685915149383599,0.8247593832472441,0.7728793420575728,0.7031624875509966
d66,0.8088819454975889,0.8547456333589195,0.6538066634042355,0.8507945352932271,1.0000000000000002,0.8159673111764467,0.7458743395488536,0.9365943814940504,0.6354561015584272,0.7082882261732367,0.6779666012956235,0.9240404991506292,0.9152182266816008,0.7431833368413779
denk,0.759968093788842,0.6195605097601848,0.4533208355051044,0.7509683004283267,0.8159673111764467,0.9999999999999997,0.552787165555826,0.9153978907396123,0.4496285404446648,0.4988435500192965,0.6209771091428575,0.8990803572282321,0.6875142481768114,0.6412567452578783
forum-voor-democratie,0.6272848827553691,0.8812248624843417,0.5655276816635787,0.6666789481390845,0.7458743395488536,0.552787165555826,1.0000000000000004,0.6538321203099262,0.6745446030181635,0.43450577355183123,0.8358427781507597,0.655469176156011,0.6741093040512003,0.785550693223846
groenlinks-pvda,0.8176327463674319,0.7710981160212185,0.5481844143868302,0.821581090592239,0.9365943814940504,0.9153978907396123,0.6538321203099262,1.0000000000000004,0.5456793480085701,0.6245109677044985,0.6802688145029755,0.9799678108386859,0.8431435325371115,0.7441948629448721
ja21,0.5834516973756527,0.7063072432127004,0.924545721918281,0.5270212628447647,0.6354561015584272,0.4496285404446648,0.6745446030181635,0.5456793480085701,1.0000000000000002,0.2932446915498892,0.6259727512102287,0.502108201825777,0.5008930808949752,0.6745503923853214
partij-voor-de-dieren,0.40924721031729633,0.5378321704552285,0.321193954107278,0.6640403141455051,0.7082882261732367,0.4988435500192965,0.43450577355183123,0.6245109677044985,0.2932446915498892,0.9999999999999993,0.37246579813190295,0.6973696432269646,0.6749935285674856,0.36199236846570626
pvv-partij-voor-de-vrijheid,0.7657286184843023,0.821768487141375,0.49935502990125175,0.6685915149383599,0.6779666012956235,0.6209771091428575,0.8358427781507597,0.6802688145029755,0.6259727512102287,0.37246579813190295,1.0,0.657184104268096,0.5520531307492459,0.8136986473873669
sp-socialistische-partij,0.77844459960743,0.7480376695438135,0.5130948072385282,0.8247593832472441,0.9240404991506292,0.8990803572282321,0.655469176156011,0.9799678108386859,0.502108201825777,0.6973696432269646,0.657184104268096,0.9999999999999996,0.8287931821122801,0.6882119102248364
volt,0.6485515718037911,0.772387346226363,0.49142908845461586,0.7728793420575728,0.9152182266816008,0.6875142481768114,0.6741093040512003,0.8431435325371115,0.5008930808949752,0.6749935285674856,0.5520531307492459,0.8287931821122801,1.0000000000000002,0.7024728677279387
vvd,0.7278856442927841,0.8619101022346082,0.5544675870505471,0.7031624875509966,0.7431833368413779,0.6412567452578783,0.785550693223846,0.7441948629448721,0.6745503923853214,0.36199236846570626,0.8136986473873669,0.6882119102248364,0.7024728677279387,0.9999999999999994
